Date/Time,Active Energy (kcal),Apple Stand Hour (count),Step Count (count)
2026-06-01 00:00:00,551.36,,
2026-06-02 00:00:00,350.53,,
2026-06-03 00:00:00,452.3,,
2026-06-04 00:00:00,761.28,,
2026-06-05 00:00:00,690.85,,
2026-06-06 00:00:00,605.57,,
2026-06-07 00:00:00,653.8,,
2026-06-08 00:00:00,632.62,,
2026-06-09 00:00:00,744.98,,
2026-06-10 00:00:00,764.84,,
2026-06-11 00:00:00,786.97,,
2026-06-12 00:00:00,734.23,,
2026-06-13 00:00:00,813.54,,
2026-06-14 00:00:00,658.35,,
2026-06-15 00:00:00,607.42,,
2026-06-16 00:00:00,867.61,,
2026-06-17 00:00:00,876.25,,
2026-06-18 00:00:00,446.46,,
2026-06-19 00:00:00,660.04,,
2026-06-20 00:00:00,762.94,,
2026-06-21 00:00:00,507.73,,
2026-06-22 00:00:00,915.11,,
2026-06-23 00:00:00,562.95,,
2026-06-24 00:00:00,877.94,,
2026-06-25 00:00:00,828.15,,
2026-06-26 00:00:00,574.48,,
2026-06-27 00:00:00,359.96,,8560
2026-06-28 00:00:00,1048,13,19764
